node,centrality,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
10040331900,betweenness,,,,,,,,,,,,,
10040331900,betweenness_rank,,,,,,,,,,,,,
10040331900,closeness,,,,,,,,,,,,,
10040331900,degree,,,0.0,0.0,0.0,,,,,,,,
10040331900,eigenvector,,,,,,,,,,,,,
10040331900,eigenvector_rank,,,,,,,,,,,,,
10040331900,giant,,,0.0,0.0,0.0,,,,,,,,
10040331900,num_2nd_neighbors,,,0.0,0.0,0.0,,,,,,,,
10041023200,betweenness,,,,,,,,,,,,,
10041023200,betweenness_rank,,,,,,,,,,,,,
10041023200,closeness,,,,,,,,,,,,,
10041023200,degree,,,,,,,,,1.0,1.0,1.0,,
10041023200,eigenvector,,,,,,,,,,,,,
10041023200,eigenvector_rank,,,,,,,,,,,,,
10041023200,giant,,,,,,,,,0.0,0.0,0.0,,
10041023200,num_2nd_neighbors,,,,,,,,,0.0,0.0,0.0,,
10042272500,betweenness,,,,,,,,,,,,,
10042272500,betweenness_rank,,,,,,,,,,,,,
10042272500,closeness,,,,,,,,,,,,,
10042272500,degree,,,,,,,,,,,,1.0,1.0
10042272500,eigenvector,,,,,,,,,,,,,
10042272500,eigenvector_rank,,,,,,,,,,,,,
10042272500,giant,,,,,,,,,,,,0.0,0.0
10042272500,num_2nd_neighbors,,,,,,,,,,,,0.0,0.0
10045555900,betweenness,,,,,,,,,,,,,
10045555900,betweenness_rank,,,,,,,,,,,,,
10045555900,closeness,,,,,,,,,,,,,
10045555900,degree,,,,,,,0.0,0.0,0.0,,,,
10045555900,eigenvector,,,,,,,,,,,,,
10045555900,eigenvector_rank,,,,,,,,,,,,,
10045555900,giant,,,,,,,0.0,0.0,0.0,,,,
10045555900,num_2nd_neighbors,,,,,,,0.0,0.0,0.0,,,,
10138910100,betweenness,,,,,,,,,0.0,,0.0,0.0,0.0
10138910100,betweenness_rank,,,,,,,,,144.0,,305.0,290.0,333.0
10138910100,closeness,,,,,,,,,0.1362955566650025,,0.0951004016064257,0.07738583538419469,0.12262910798122066
10138910100,degree,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0
10138910100,eigenvector,,,,,,,,,0.016107148350678727,,0.0025025605694162715,0.003987232998490583,6.548734730243382e-06
10138910100,eigenvector_rank,,,,,,,,,49.0,,93.0,97.0,250.0
10138910100,giant,,,,,,,,0.0,1.0,0.0,1.0,1.0,1.0
10138910100,num_2nd_neighbors,,,,,,,,7.0,7.0,4.0,10.0,9.0,9.0
10140195500,betweenness,,,,,,,,,,,,,
10140195500,betweenness_rank,,,,,,,,,,,,,
10140195500,closeness,,,,,,,,,,,,,
10140195500,degree,,,,,,,2.0,4.0,4.0,2.0,,,
10140195500,eigenvector,,,,,,,,,,,,,
10140195500,eigenvector_rank,,,,,,,,,,,,,
10140195500,giant,,,,,,,0.0,0.0,0.0,0.0,,,
10140195500,num_2nd_neighbors,,,,,,,1.0,5.0,4.0,5.0,,,
10142124700,betweenness,,,,,,,,,,,,,
10142124700,betweenness_rank,,,,,,,,,,,,,
10142124700,closeness,,,,,,,,,,,,,
10142124700,degree,,,,,,,,,,,2.0,6.0,9.0
10142124700,eigenvector,,,,,,,,,,,,,
10142124700,eigenvector_rank,,,,,,,,,,,,,
10142124700,giant,,,,,,,,,,,0.0,0.0,0.0
10142124700,num_2nd_neighbors,,,,,,,,,,,0.0,0.0,4.0
10242485700,betweenness,,,,,,,,,,,,,
10242485700,betweenness_rank,,,,,,,,,,,,,
10242485700,closeness,,,,,,,,,,,,,
10242485700,degree,,,,,,,,1.0,1.0,1.0,,,
10242485700,eigenvector,,,,,,,,,,,,,
10242485700,eigenvector_rank,,,,,,,,,,,,,
10242485700,giant,,,,,,,,0.0,0.0,0.0,,,
10242485700,num_2nd_neighbors,,,,,,,,2.0,2.0,2.0,,,
10244738400,betweenness,,,,,,,,,0.007326007326007326,,,,0.0
10244738400,betweenness_rank,,,,,,,,,97.0,,,,333.0
10244738400,closeness,,,,,,,,,0.1326530612244898,,,,0.055503612409689755
10244738400,degree,,,,,,,0.0,2.0,2.0,2.0,,1.0,1.0
10244738400,eigenvector,,,,,,,,,0.012849849067083575,,,,7.573928889249833e-11
10244738400,eigenvector_rank,,,,,,,,,52.0,,,,593.0
10244738400,giant,,,,,,,0.0,0.0,1.0,0.0,,0.0,1.0
10244738400,num_2nd_neighbors,,,,,,,0.0,4.0,4.0,0.0,,0.0,2.0
10339832500,betweenness,,,,,,,,,,,,,
10339832500,betweenness_rank,,,,,,,,,,,,,
10339832500,closeness,,,,,,,,,,,,,
10339832500,degree,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0
10339832500,eigenvector,,,,,,,,,,,,,
10339832500,eigenvector_rank,,,,,,,,,,,,,
10339832500,giant,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0
10339832500,num_2nd_neighbors,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0
10341039800,betweenness,,,,,,,,,,,,,
10341039800,betweenness_rank,,,,,,,,,,,,,
10341039800,closeness,,,,,,,,,,,,,
10341039800,degree,,,,,,,,,,2.0,2.0,2.0,
10341039800,eigenvector,,,,,,,,,,,,,
10341039800,eigenvector_rank,,,,,,,,,,,,,
10341039800,giant,,,,,,,,,,0.0,0.0,0.0,
10341039800,num_2nd_neighbors,,,,,,,,,,0.0,0.0,0.0,
10640005400,betweenness,,,,,,,,,,,,,
10640005400,betweenness_rank,,,,,,,,,,,,,
10640005400,closeness,,,,,,,,,,,,,
10640005400,degree,,,,,,,,,,3.0,3.0,3.0,1.0
10640005400,eigenvector,,,,,,,,,,,,,
10640005400,eigenvector_rank,,,,,,,,,,,,,
10640005400,giant,,,,,,,,,,0.0,0.0,0.0,0.0
10640005400,num_2nd_neighbors,,,,,,,,,,0.0,0.0,0.0,0.0
11042100100,betweenness,,,,,,,,,,,,,
11042100100,betweenness_rank,,,,,,,,,,,,,
11042100100,closeness,,,,,,,,,,,,,
11042100100,degree,,,,,,1.0,1.0,1.0,,,,,2.0
11042100100,eigenvector,,,,,,,,,,,,,
11042100100,eigenvector_rank,,,,,,,,,,,,,
11042100100,giant,,,,,,0.0,0.0,0.0,,,,,0.0
11042100100,num_2nd_neighbors,,,,,,2.0,3.0,3.0,,,,,2.0
11138886100,betweenness,,,,,,,,,0.007595345830639948,0.045513095749248604,,,
11138886100,betweenness_rank,,,,,,,,,95.0,27.0,,,
11138886100,closeness,,,,,,,,,0.10528345545699962,0.1905424200278164,,,
11138886100,degree,,,,,,,,,3.0,3.0,3.0,3.0,3.0
11138886100,eigenvector,,,,,,,,,6.678093616738211e-05,0.16369496605558206,,,
11138886100,eigenvector_rank,,,,,,,,,129.0,7.0,,,
11138886100,giant,,,,,,,,,1.0,1.0,0.0,0.0,0.0
11138886100,num_2nd_neighbors,,,,,,,,,7.0,6.0,3.0,3.0,6.0
11139119800,betweenness,,,,,,,,,0.007595345830639948,0.045513095749248604,,,
11139119800,betweenness_rank,,,,,,,,,95.0,27.0,,,
11139119800,closeness,,,,,,,,,0.10528345545699962,0.1905424200278164,,,
11139119800,degree,,,,,,,,,3.0,3.0,3.0,3.0,3.0
11139119800,eigenvector,,,,,,,,,6.678093616735435e-05,0.1636949660555822,,,
11139119800,eigenvector_rank,,,,,,,,,130.0,6.0,,,
11139119800,giant,,,,,,,,,1.0,1.0,0.0,0.0,0.0
11139119800,num_2nd_neighbors,,,,,,,,,7.0,6.0,3.0,3.0,6.0
11139411000,betweenness,,,,,,,,,,,,,
11139411000,betweenness_rank,,,,,,,,,,,,,
11139411000,closeness,,,,,,,,,,,,,
11139411000,degree,,,,,,,2.0,2.0,2.0,,,,
11139411000,eigenvector,,,,,,,,,,,,,
11139411000,eigenvector_rank,,,,,,,,,,,,,
11139411000,giant,,,,,,,0.0,0.0,0.0,,,,
11139411000,num_2nd_neighbors,,,,,,,3.0,3.0,3.0,,,,
11139550100,betweenness,,,,,,,,,,,,,
11139550100,betweenness_rank,,,,,,,,,,,,,
11139550100,closeness,,,,,,,,,,,,,
11139550100,degree,,,,,,,,,,1.0,1.0,1.0,
